NAME,Density (g/cm3),Pore limiting diameter (A),Largest cavity diameter (A),Volum. Surface area (m2/cm3),Grav. Surface area (m2/g),Helium void fraction (-),Pore volume (cm3/g),Porosity,Mixture,MF Methane,MF Ethane,MF Ethylene,MF Propane,MF Propylene,MF CO2,MF CO,MF N2,Total grav. Uptake (mol/kg),Total volum. uptake (cm3/cm3),Grav. Uptake Methane (mol/kg),Grav. Uptake Ethane (mol/kg),Grav. Uptake Ethylene (mol/kg),Grav. Uptake Propane (mol/kg),Grav. Uptake Propylene (mol/kg),Grav. Uptake CO2 (mol/kg),Grav. Uptake CO (mol/kg),Grav. Uptake N2 (mol/kg),Volum. Uptake Methane (cm3/cm3),Volum. Uptake Ethane (cm3/cm3),Volum. Uptake Ethylene (cm3/cm3),Volum. Uptake Propane (cm3/cm3),Volum. Uptake Propylene (cm3/cm3),Volum. Uptake CO2 (cm3/cm3),Volum. Uptake CO (cm3/cm3),Volum. Uptake N2 (cm3/cm3),Selectivity Methane/Mixture,Selectivity Ethane/Ethylene,Selectivity Propane/Propylene,Adsorbed MF Methane,Adsorbed MF Ethane,Adsorbed MF Ethylene,Adsorbed MF Propane,Adsorbed MF Propylene,Adsorbed MF CO2,Adsorbed MF CO,Adsorbed MF N2,Qst Methane (kJ/mol),Qst Ethane (kJ/mol),Qst Ethylene (kJ/mol),Qst Propane (kJ/mol),Qst Propylene (kJ/mol),Qst CO2 (kJ/mol),Qst CO (kJ/mol),Qst N2 (kJ/mol),MOF Density (g/cm3),Pore Limiting Diameter (A),Largest Cavity Diameter (A),Volum. Surface Area (m2/cm3),Grav. Surface Area (m2/g),Helium Void Fraction (-),Pore Volume (cm3/g),QST Methane (kJ/mol),QST Ethane (kJ/mol),QST Ethylene (kJ/mol),QST Propane (kJ/mol),QST Propylene (kJ/mol),QST CO2 (kJ/mol),QST CO (kJ/mol),QST N2 (kJ/mol),URL
BEPNIV,0.893,9.15,9.66,1175.807988,1316.03792,0.453255,0.5075,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.5917,51.9013,1.325730863,0.733554539,0.178542858,0.069154526,0.139513797,0.131090275,0.01366784,0.000484635,26.54863933,14.68991591,3.575439076,1.384865224,2.793856265,2.625169655,0.273707553,0.009705132,0.184795371,1.711901158,1.487047035,51.1,28.3,6.8,2.6,5.3,5,0.5,0,12.87738167,19.23801715,17.54399606,24.61748544,23.44929287,16.06678312,10.72707122,9.96015451,[0.8-1.0),[8.0-10.0),[8.0-10.0),[1000-1200),[1250-1500),[0.45-0.5),[0.5-0.6),[12-14),[10-20),[15-20),[20-25),[20-25),[10-20),[10-14),[2-10),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPNIV
BEPNOB,0.89,9.18,9.69,1176.794519,1321.704514,0.457457,0.5139,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.4814,49.5211,1.299640409,0.682101724,0.169180855,0.061604487,0.126226253,0.128691048,0.013484249,0.000516564,25.93632071,13.61238767,3.376263832,1.229412166,2.519038767,2.568227542,0.269098898,0.01030882,0.194066088,1.679912613,1.464144399,52.3,27.4,6.8,2.4,5,5.1,0.5,0,12.7508757,18.87132757,17.25756507,24.12393894,22.96790844,15.97312974,10.63753216,9.8754813,[0.8-1.0),[8.0-10.0),[8.0-10.0),[1000-1200),[1250-1500),[0.45-0.5),[0.5-0.6),[12-14),[10-20),[15-20),[20-25),[20-25),[10-20),[10-14),[2-10),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPNOB
BEPNUH,1.166,9.07,10.07,1049.929716,900.65183,0.427142,0.3663,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.0726,54.1547,0.958289566,0.55547476,0.134179868,0.056931407,0.115042376,0.242184248,0.010080631,0.000411734,25.03911349,14.51397997,3.505980919,1.487558675,3.005938078,6.328023473,0.263396454,0.010758179,0.151762686,1.724907178,1.484620077,46.2,26.8,6.4,2.7,5.5,11.6,0.4,0,13.00222473,19.27777136,17.63656625,24.86938714,23.71372548,20.67549644,11.16281624,10.5382726,[1.1-1.2),[8.0-10.0),[10.0-18.0],[1000-1200),[750-1000),[0.4-0.45),[0.35-0.4),[12-14),[10-20),[15-20),[20-25),[20-25),[20-24),[10-14),[10-12),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPNUH
BEPPAP,1.032,8.93,9.51,1063.910011,1031.133294,0.382882,0.371,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.0465,47.3289,0.941305013,0.48754361,0.121575079,0.044895982,0.092071254,0.348362546,0.010335662,0.000435922,21.76904386,11.27515319,2.81160005,1.0382847,2.129281309,8.056389195,0.239027178,0.010081325,0.150298258,1.670927733,1.462866408,45.9,23.8,5.9,2.1,4.4,17,0.5,0,12.60617399,18.59878658,17.03929041,23.83774621,22.73994947,22.20860382,10.92579487,10.46880966,[1.0-1.1),[8.0-10.0),[8.0-10.0),[1000-1200),[1000-1250),[0.35-0.4),[0.35-0.4),[12-14),[10-20),[15-20),[20-25),[20-25),[20-24),[10-14),[10-12),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPPAP
BEPPIX,0.991,8.45,9.28,1085.565676,1095.985796,0.398365,0.4019,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.5192,55.9294,1.239607278,0.71676444,0.174700342,0.071295523,0.147475062,0.156675126,0.012312936,0.000413623,27.52036516,15.91279713,3.878500312,1.582822942,3.274075301,3.478324747,0.273357932,0.0091828,0.170950212,1.709509244,1.450323646,49.2,28.4,6.9,2.8,5.8,6.2,0.4,0,13.22988556,19.4153674,17.81320905,24.81109736,23.7179951,17.50315946,11.32934719,10.42384241,[0.8-1.0),[8.0-10.0),[8.0-10.0),[1000-1200),[1000-1250),[0.35-0.4),[0.4-0.5),[12-14),[10-20),[15-20),[20-25),[20-25),[10-20),[10-14),[10-12),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPPIX
BEPPOD,0.961,9.15,9.57,1097.848836,1142.656801,0.408014,0.4245,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.4959,53.7486,1.240569527,0.689967154,0.169911622,0.066193683,0.137071187,0.17892137,0.012757419,0.000474978,26.71571143,14.85846863,3.659053173,1.425483446,2.951833166,3.853078441,0.274731499,0.010228662,0.174400132,1.691975574,1.448743914,49.7,27.6,6.8,2.6,5.4,7.1,0.5,0,13.02639151,19.10654415,17.56239856,24.36201067,23.35411638,18.33958695,11.24774126,10.38858357,[0.8-1.0),[8.0-10.0),[8.0-10.0),[1000-1200),[1000-1250),[0.4-0.45),[0.4-0.5),[12-14),[10-20),[15-20),[20-25),[20-25),[10-20),[10-14),[10-12),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPPOD
BEPRIZ,0.764,5.2,9.43,2020.452033,2643.316381,0.66347,0.8684,3D,1,85,6,2.5,0.1,0.3,4,2,0.1,6.3134,108.1644,2.522546141,2.056748622,0.454700589,0.317248041,0.574009513,0.36340699,0.023907758,0.000873602,43.21727838,35.23704733,7.790113963,5.435221452,9.834162607,6.226035187,0.409597362,0.014966903,0.117427464,1.884709662,1.658063326,39.9,32.5,7.2,5,9,5.7,0.3,0,15.07740352,23.04376856,20.94209421,30.51945061,28.7652566,19.4084296,12.82811103,11.70734947,[0.6-0.8),[5.0-6.0),[8.0-10.0),[2000-2200),[2500-3000),[0.6-0.7),[0.8-1.0),[14-16),[20-24),[20-24),[30-36),[25-30),[10-20),[10-14),[10-12),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPRIZ
BEPROF,0.73,5.47,7.87,2269.411807,3108.658059,0.687015,0.9411,3D,1,85,6,2.5,0.1,0.3,4,2,0.1,7.5926,124.2375,2.605394512,2.600472569,0.538804624,0.48395927,0.835227405,0.505210885,0.022773191,0.000805781,42.63170951,42.55117244,8.816385433,7.918958499,13.66671033,8.266695726,0.372634561,0.013184879,0.092190117,2.01098912,1.73830241,34.3,34.2,7,6.3,11,6.6,0.2,0,15.00162962,23.02052771,20.7779245,30.78714206,28.86122181,19.3846796,12.6798996,11.91924918,[0.6-0.8),[5.0-6.0),[7.0-8.0),[2200-2400),[3000-3500),[0.6-0.7),[0.8-1.0),[14-16),[20-24),[20-24),[30-36),[25-30),[10-20),[10-14),[10-12),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPROF
BEPVEZ,1.27,3.84,5.26,758.592203,597.540773,0.24162,0.1902,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,1.7672,50.2862,0.460791244,0.661581273,0.122265944,0.167176386,0.252493817,0.099377859,0.003403813,0.000122128,13.11184919,18.82534442,3.479086544,4.757016529,7.184730381,2.82780439,0.096855765,0.003475149,0.062243403,2.254584187,1.986302733,26,37.4,6.9,9.4,14.2,5.6,0.1,0,18.64747124,28.74995589,25.93916667,38.71470468,36.18741448,23.91707352,15.52757998,14.78838957,[1.2-1.3),[3.8-4.0),[5.25-5.5),[750-875),[500-750),[0.2-0.25),[0.15-0.2),[18-19),[28-29),[24-26),[38-39),[36-38),[20-24),[14-16),[14-15),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPVEZ
BEPVID,1.306,3.74,4.85,653.066876,500.198496,0.207544,0.1589,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,1.742,50.9787,0.468115943,0.646156266,0.124749861,0.136607069,0.240578993,0.122566338,0.003135921,0.000115726,13.69896023,18.90913803,3.650683999,3.997673713,7.040311487,3.58678532,0.091769686,0.003386601,0.064846563,2.158172966,1.703478768,26.8,37,7.1,7.8,13.8,7,0.1,0,19.92012133,30.86646087,27.75779945,41.40458977,38.95479403,25.58549192,16.46596198,15.7432412,[1.3-1.4),[3.6-3.8),[4.75-5.0),[625-750),[500-750),[0.2-0.25),[0.15-0.2),[19-20),[30-32),[27-28),[41-42),[38-40),[24-26),[16-17),[15-16),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPVID
BEPVOJ01,1.329,3.66,4.63,601.621078,452.795153,0.188141,0.1415,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,1.7344,51.6519,0.466412559,0.624227473,0.120455206,0.103367688,0.212261156,0.204491282,0.003048757,0.000122128,13.89026106,18.59015671,3.587283877,3.078399462,6.321362515,6.089967423,0.090795222,0.003637089,0.064913097,2.159265587,1.460950604,26.8,35.9,6.9,5.9,12.2,11.7,0.1,0,20.57733517,32.03307213,28.79520192,42.67708731,40.31617302,28.05184788,17.06242142,16.36643758,[1.3-1.4),[3.6-3.8),[4.5-4.75),[500-625),[250-500),[0-0.2),[0.1-0.15),[20-21),[32-34),[28-30),[42-46),[40-42),[28-30),[17-18),[16-17),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPVOJ01
BEPVOJ,1.351,3.49,4.41,541.743512,401.083987,0.174597,0.1292,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,1.7097,51.7603,0.464452444,0.611169344,0.120172211,0.083609779,0.192201867,0.235008564,0.002966846,0.000117531,14.0610757,18.50285971,3.638156239,2.53124608,5.818819644,7.114771917,0.089819852,0.003558206,0.065820076,2.119074711,1.305030695,27.1,35.7,7,4.8,11.2,13.7,0.1,0,20.92625054,32.48899914,29.30243492,42.99074892,40.76426065,29.5381141,17.45955132,16.79960757,[1.3-1.4),[3.4-3.6),[4.25-4.5),[500-625),[250-500),[0-0.2),[0.1-0.15),[20-21),[32-34),[28-30),[42-46),[40-42),[28-30),[17-18),[16-17),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPVOJ
BEPYIG,1.443,6.78,7.18,804.815933,557.791803,0.251538,0.1743,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.2636,73.206,0.669810029,0.840350129,0.17329722,0.145535778,0.290760863,0.139118794,0.004589719,0.000156902,21.66182194,27.17713093,5.60447495,4.706663035,9.403278189,4.499136207,0.14843264,0.005074252,0.074163052,2.020493384,1.501602826,29.5,37.1,7.6,6.4,12.8,6.1,0.2,0,17.78967243,26.72647514,24.29844095,34.983268,33.07915211,21.86591177,15.06791634,13.89939065,[1.4-1.5),[6.0-7.0),[7.0-8.0),[750-875),[500-750),[0.25-0.3),[0.15-0.2),[17-18),[26-27),[24-26),[30-36),[30-34),[20-24),[14-16),[12-14),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPYIG
BETDAH,1.163,4.16,5.89,2114.810914,1818.328273,0.576905,0.496,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,6.8721,179.145,1.288326753,1.284661066,0.289885827,0.144461801,0.34662093,3.509199725,0.008586222,0.000313053,33.58490888,33.48934946,7.556925348,3.765920715,9.035931547,91.4800168,0.223831013,0.008160864,0.040716839,1.846504361,1.250315154,18.7,18.6,4.2,2.1,5,51,0.1,0,18.7954312,29.13840091,26.36634968,38.36517363,36.65265645,48.39784426,16.01665084,17.29308981,[1.1-1.2),[4.0-4.25),[5.75-6.0),[2000-2200),[1750-2000),[0.55-0.6),[0.4-0.5),[18-19),[29-30),[26-27),[38-39),[36-38),[45-50),[16-17),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BETDAH
BETDEL,1.165,4.04,5.8,2065.670276,1773.734522,0.579143,0.4971,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,7.2753,189.9084,1.258568308,1.207926914,0.274970611,0.133688775,0.321192103,4.070581653,0.008095204,0.000310029,32.85247327,31.53057837,7.177572014,3.489684958,8.384093998,106.2546023,0.211309513,0.008092705,0.03691357,1.830387903,1.248680523,17.2,16.6,3.7,1.8,4.4,55.9,0.1,0,18.64446822,28.88694394,26.15002552,37.97080846,36.26045963,49.45559898,16.08144578,17.81484543,[1.1-1.2),[4.0-4.25),[5.75-6.0),[2000-2200),[1750-2000),[0.55-0.6),[0.4-0.5),[18-19),[28-29),[26-27),[36-38),[36-38),[45-50),[16-17),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BETDEL
BETFAJ,1.111,4.03,5.88,2092.028359,1882.857029,0.574801,0.5173,2D,1,85,6,2.5,0.1,0.3,4,2,0.1,7.647,190.4403,1.285493331,1.215210734,0.278848739,0.131235747,0.318484129,4.409165717,0.008217457,0.00032091,32.01392689,30.26360905,6.944449206,3.268295138,7.93152898,109.8058664,0.204647556,0.007991933,0.035660199,1.815815298,1.236191085,16.8,15.8,3.6,1.7,4.1,57.6,0.1,0,18.78774331,29.15183232,26.37919761,38.42864414,36.67142175,50.08992424,16.15235701,18.05319279,[1.1-1.2),[4.0-4.25),[5.75-6.0),[2000-2200),[1750-2000),[0.55-0.6),[0.5-0.6),[18-19),[29-30),[26-27),[38-39),[36-38),[50-60),[16-17),[18-19),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BETFAJ
BETFEN,1.079,4.01,5.96,2038.756617,1890.171516,0.572587,0.5306,2D,1,85,6,2.5,0.1,0.3,4,2,0.1,7.5616,182.8095,1.313096702,1.253078033,0.287270446,0.132849152,0.32096103,4.245264305,0.008776952,0.000340106,31.74532499,30.29431827,6.945028244,3.211750896,7.759529209,102.6331837,0.212190915,0.008222377,0.037084334,1.817506303,1.241731609,17.3,16.5,3.7,1.7,4.2,56.1,0.1,0,18.75419671,29.09144793,26.35593307,38.3020727,36.56937155,45.86608397,16.06724517,17.26252625,[1.0-1.1),[4.0-4.25),[5.75-6.0),[2000-2200),[1750-2000),[0.55-0.6),[0.5-0.6),[18-19),[29-30),[26-27),[38-39),[36-38),[45-50),[16-17),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BETFEN
BETFUD,1.063,4.05,5.82,2103.917118,1979.335268,0.570074,0.5362,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,7.78,185.3567,1.319494863,1.18975808,0.275970306,0.117617155,0.299496929,4.568472573,0.008863163,0.000335153,31.43662146,28.34567639,6.574920656,2.802198087,7.13543632,108.8426692,0.21116256,0.00798493,0.036042342,1.796325631,1.178147192,16.9,15.2,3.5,1.5,3.8,58.7,0.1,0,18.58767991,28.85061171,26.11784879,37.93898991,36.31945404,48.84333654,16.02584816,17.54383795,[1.0-1.1),[4.0-4.25),[5.75-6.0),[2000-2200),[1750-2000),[0.55-0.6),[0.5-0.6),[18-19),[28-29),[26-27),[36-38),[36-38),[45-50),[16-17),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BETFUD
BETGAK,1.062,3.99,5.74,2112.946086,1990.49101,0.571011,0.5376,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,7.7513,184.4262,1.351994355,1.216055179,0.282982812,0.115617877,0.298118551,4.477138469,0.009106213,0.000305442,32.16784527,28.93346018,6.732977297,2.750882761,7.093100202,106.5240376,0.216663078,0.007267351,0.037283191,1.79053157,1.163475497,17.4,15.6,3.6,1.4,3.8,57.7,0.1,0,18.65389083,28.97166929,26.23752178,38.07186087,36.40465389,47.55513629,16.09511958,17.55438488,[1.0-1.1),[3.8-4.0),[5.5-5.75),[2000-2200),[1750-2000),[0.55-0.6),[0.5-0.6),[18-19),[28-29),[26-27),[38-39),[36-38),[45-50),[16-17),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BETGAK
BEXPAX,0.749,4.79,5.42,3170.953586,4233.548953,0.657752,0.8781,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,9.9008,166.2169,3.459607649,3.36645846,0.742488051,0.396285182,0.937318975,0.971086831,0.026589621,0.000980578,58.0805935,56.51678607,12.4650397,6.652915857,15.73590069,16.30280228,0.446391937,0.016462138,0.094783312,1.889176564,1.268357495,34.9,34,7.4,4,9.4,9.8,0.2,0,16.52438143,25.58377022,23.12383832,33.79459447,32.12833443,24.31088043,14.01973093,13.52951372,[0.6-0.8),[4.75-5.0),[5.25-5.5),[2600-3600],[4000-5500],[0.6-0.7),[0.8-1.0),[16-17),[24-26),[20-24),[30-36),[30-34),[24-26),[14-16),[12-14),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEXPAX
BEXSAA,0.993,4.94,6.17,1517.430219,1528.486402,0.451482,0.4546,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,9.0906,202.283,0.570121987,0.598720969,0.129968631,0.082200712,0.166884821,7.538384387,0.004165958,0.000171233,12.68626669,13.32264683,2.892041966,1.829117586,3.713495335,167.7429689,0.092700246,0.00381024,0.011807969,1.919440628,1.477678647,6.2,6.5,1.4,0.9,1.8,82.9,0,0,16.62201172,25.41574893,23.17683154,32.80315113,31.11436121,46.90541043,15.0739972,16.9177635,[0.8-1.0),[4.75-5.0),[6.0-6.5),[1400-1600),[1500-1750),[0.45-0.5),[0.4-0.5),[16-17),[24-26),[20-24),[30-36),[30-34),[45-50),[14-16),[16-17),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEXSAA
BEXTUV,1.305,3.55,3.93,1020.905608,782.137432,0.386026,0.2958,3D,1,85,6,2.5,0.1,0.3,4,2,0.1,5.0454,147.6118,0.785387674,0.577770689,0.165226022,0.021009641,0.110632742,3.379652666,0.005558706,0.00020916,22.97764403,16.90351105,4.833924505,0.614667213,3.236719713,98.87659111,0.162627923,0.006119277,0.032534245,1.457021018,0.569713105,15.5,11.4,3.2,0.4,2.1,66.9,0.1,0,22.82329627,34.80317815,32.22444989,44.65280474,43.69287304,36.85396997,20.45638361,19.77746296,[1.3-1.4),[3.4-3.6),[3.4-4.0),[1000-1200),[750-1000),[0.35-0.4),[0.25-0.3),[22-24),[34-36),[32-34),[42-46),[42-44),[36-40),[20-21),[19-20),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEXTUV
BEYSEF,1.18,4.03,4.86,1182.095551,1001.970436,0.34063,0.2886,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,3.0653,81.0565,1.232032502,1.016550508,0.234155815,0.115846392,0.25569192,0.202057156,0.008637927,0.000315879,32.57907411,26.88100704,6.191865598,3.063367403,6.761352473,5.34306932,0.228415783,0.008352888,0.118596392,1.808892558,1.359210638,40.1,33.1,7.6,3.7,8.3,6.5,0.2,0,17.65033413,25.90396705,23.69021466,33.49934755,31.9422452,22.88206901,14.90460035,13.87711566,[1.1-1.2),[4.0-4.25),[4.75-5.0),[1000-1200),[1000-1250),[0.3-0.35),[0.25-0.3),[17-18),[24-26),[20-24),[30-36),[30-34),[20-24),[14-16),[12-14),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEYSEF
BEZSIK,1.757,4.07,5.43,2435.590664,1385.841551,0.548878,0.3123,2D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.1437,84.4435,0.751508896,0.45700966,0.111930803,0.042715957,0.095285706,0.67572119,0.009138886,0.000351648,29.60354674,18.00259038,4.409194306,1.682673142,3.753508274,26.6181065,0.360000298,0.013852183,0.095261897,1.701235828,1.344880324,35,21.3,5.2,1.9,4.4,31.5,0.4,0,14.50761539,21.96144893,20.00749893,28.88024772,27.35019931,27.30860302,13.16502182,12.50871578,[1.6-1.8),[4.0-4.25),[5.25-5.5),[2400-2600),[1250-1500),[0.5-0.55),[0.3-0.35),[14-16),[20-24),[20-24),[25-30),[25-30),[26-28),[10-14),[12-14),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEZSIK
BIBXUH,0.74,4.92,14.62,1818.065536,2457.521462,0.705341,0.9531,2D,1,85,6,2.5,0.1,0.3,4,2,0.1,5.3159,88.1471,2.432780842,1.54404052,0.36556186,0.176055226,0.34989864,0.420270893,0.026296664,0.000998816,40.33983335,25.60293808,6.06166584,2.919308777,5.801941791,6.968838902,0.436045454,0.016562146,0.148906003,1.759894252,1.509481936,45.7,29,6.8,3.3,6.5,7.9,0.4,0,13.25733821,20.24083191,18.38535266,26.59177148,25.32317812,18.74034416,11.35516679,10.57876161,[0.6-0.8),[4.75-5.0),[10.0-18.0],[1800-2000),[2250-2500),[0.7-0.8),[0.8-1.0),[12-14),[20-24),[15-20),[25-30),[25-30),[10-20),[10-14),[10-12),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BIBXUH
BICDAU,0.653,6.14,11.26,2238.536027,3427.872042,0.777185,1.1901,2D,1,85,6,2.5,0.1,0.3,4,2,0.1,4.5809,67.0522,2.396589459,1.211686151,0.304905593,0.113034218,0.239942707,0.285170355,0.028535791,0.001074956,35.07938968,17.73570792,4.462968012,1.654505894,3.512092446,4.174099146,0.417684444,0.015734353,0.193617138,1.65582148,1.4132651,52.3,26.4,6.6,2.4,5.2,6.2,0.6,0,12.89958623,20.36974604,18.52191408,26.74840287,25.63687409,17.52937633,11.06228067,9.92669517,[0.6-0.8),[6.0-7.0),[10.0-18.0],[2200-2400),[3000-3500),[0.7-0.8),[1.0-1.5),[12-14),[20-24),[15-20),[25-30),[25-30),[10-20),[10-14),[2-10),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BICDAU
BIFKEI,1.021,3.86,5.64,1531.922806,1500.019335,0.484966,0.4749,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,5.2877,121.039,1.595115958,2.118021775,0.438142661,0.258451298,0.528595233,0.337973764,0.011009948,0.000382529,36.51330814,48.48298416,10.02938871,5.916129065,12.09991069,7.736453335,0.252025324,0.008756342,0.076231595,2.014204853,1.466819686,30.1,40,8.2,4.8,9.9,6.3,0.2,0,18.8694685,29.35200191,26.56663415,38.86208755,36.70088792,24.67473662,15.78256029,14.91068859,[1.0-1.1),[3.8-4.0),[5.5-5.75),[1400-1600),[1500-1750),[0.45-0.5),[0.4-0.5),[18-19),[29-30),[26-27),[38-39),[36-38),[24-26),[14-16),[14-15),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BIFKEI
BIMDEF,1.39,3.14,4.08,846.579188,609.210655,0.318269,0.2289,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,4.4084,137.3091,0.945039841,1.77755724,0.328595266,0.197578676,0.468390578,0.685860161,0.005193344,0.000178025,29.43534382,55.36592876,10.23482207,6.1540223,14.58905444,21.3626228,0.161758102,0.00554497,0.048153256,2.253985152,1.26547385,21.4,40.3,7.4,4.4,10.6,15.5,0.1,0,22.83532201,36.03936599,32.40112085,46.67115984,44.2011608,30.57526013,18.58025793,17.83152543,[1.3-1.4),[3.0-3.2),[4.0-4.25),[750-875),[500-750),[0.3-0.35),[0.2-0.25),[22-24),[36-38),[32-34),[46-50),[44-46),[30-32),[18-19),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BIMDEF
BIMDIL,1.396,3.14,4.43,985.086809,705.540318,0.343486,0.246,3D,1,85,6,2.5,0.1,0.3,4,2,0.1,4.544,142.2025,0.781402343,2.144174771,0.389974178,0.307914852,0.652701988,0.26458379,0.003113996,0.000107676,24.45379539,67.10142553,12.2041466,9.636120057,20.42614923,8.280085048,0.097451748,0.003369701,0.036649015,2.290936698,1.41526236,17.1,47.1,8.5,6.7,14.3,5.8,0,0,23.28237956,36.59249399,32.9665336,47.89565198,45.33907696,31.05965265,18.80796914,17.99859829,[1.3-1.4),[3.0-3.2),[4.25-4.5),[875-1000),[500-750),[0.3-0.35),[0.2-0.25),[22-24),[36-38),[32-34),[46-50),[44-46),[30-32),[18-19),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BIMDIL
BIWYAH10,0.722,5.47,7.1,2871.152407,3975.135121,0.682032,0.9446,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,6.6439,107.5596,1.183506291,0.389541444,0.111716913,0.02264606,0.053048921,4.86727211,0.015475264,0.0007357,19.15992563,6.306333278,1.808598529,0.366619791,0.858815358,78.79685339,0.250530913,0.011910341,0.038248601,1.45285912,1.280670359,17.8,5.8,1.6,0.3,0.7,73.2,0.2,0,9.73079612,14.16347619,13.03519272,18.0275718,17.25786945,41.45013275,8.98616818,11.64497799,[0.6-0.8),[5.0-6.0),[7.0-8.0),[2600-3600],[3500-4000),[0.6-0.7),[0.8-1.0),[7-12),[10-20),[0-15),[9-20),[10-20),[40-45),[5-10),[10-12),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BIWYAH10
BIYTEJ,1.386,4.47,6.05,970.702752,700.352244,0.360603,0.2601,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.2231,69.0635,0.659959567,0.78977402,0.158723384,0.169349855,0.276972377,0.16299305,0.005164935,0.000168919,20.50245951,24.53530591,4.930938061,5.261062527,8.604489155,5.063580525,0.160455091,0.005247666,0.074505781,2.073245294,1.834296877,29.6,35.5,7.1,7.6,12.4,7.3,0.2,0,18.78578724,28.38094109,25.85536407,37.14161315,35.05767228,24.42550342,15.78695339,14.74153544,[1.3-1.4),[4.25-4.5),[6.0-6.5),[875-1000),[500-750),[0.35-0.4),[0.25-0.3),[18-19),[28-29),[24-26),[36-38),[34-36),[24-26),[14-16),[14-15),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BIYTEJ
BOJCIN,1.106,4.49,5.08,566.729334,512.398083,0.223778,0.2023,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.0601,51.0722,0.761988864,0.750539859,0.164046005,0.096222207,0.196860712,0.085198582,0.005113963,0.000174248,18.89016354,18.60633579,4.066799412,2.385406538,4.880295794,2.112124223,0.126778225,0.004319715,0.103584367,1.906324637,1.466349566,36.9,36.4,7.9,4.6,9.5,4.1,0.2,0,19.45593869,28.85029077,26.35126686,37.52607891,35.57647108,23.16331043,16.24320127,14.98859034,[1.1-1.2),[4.25-4.5),[5.0-5.25),[500-625),[500-750),[0.2-0.25),[0.2-0.25),[19-20),[28-29),[26-27),[36-38),[34-36),[20-24),[16-17),[14-15),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BOJCIN
